"","directorio","secuencia_p","orden","p6020","p6040","esc","fex_c_2011"
"50175",160598,1,3,2,19,13,711.148719364706
"50176",160603,1,1,1,50,11,1050.01922860958
"50177",160603,1,2,2,51,11,1050.01922860958
"50178",160603,1,3,2,21,13,1050.01922860958
"50179",160603,1,4,2,16,11,1050.01922860958
"50180",160603,1,5,2,23,14,1050.01922860958
"50181",160603,1,6,1,29,13,1050.01922860958
"50182",160606,1,1,1,71,2,445.090367407752
"50183",160606,1,2,2,28,11,445.090367407752
"50184",160620,1,1,2,62,0,274.919248265587
"50185",160620,1,2,1,31,11,274.919248265587
"50186",160620,1,3,2,23,11,274.919248265587
"50187",160634,1,1,1,46,17,770.075295699595
"50188",160634,1,2,2,46,18,770.075295699595
"50189",160634,1,3,1,15,8,770.075295699595
"50190",160637,1,1,2,53,9,390.488260993869
"50191",160637,1,2,1,27,3,390.488260993869
"50192",160637,1,3,2,12,7,390.488260993869
"50193",160637,1,4,1,24,11,390.488260993869
"50194",160637,1,5,1,55,9,390.488260993869
"50195",160678,1,1,1,75,1,312.54663490442
"50196",160678,1,2,1,23,11,312.54663490442
"50197",160678,1,3,1,17,5,312.54663490442
"50198",160678,1,4,1,12,5,312.54663490442
"50199",160692,1,1,1,83,5,385.644311197933
"50200",160692,1,2,1,44,14,385.644311197933
"50201",160692,1,3,2,47,13,385.644311197933
"50202",160692,1,4,1,16,11,385.644311197933
"50203",160694,1,1,1,50,9,438.320126037161
"50204",160694,1,2,2,43,9,438.320126037161
"50205",160694,1,3,2,20,11,438.320126037161
"50206",160694,1,4,1,17,11,438.320126037161
"50207",160694,1,5,1,15,7,438.320126037161
"50208",160709,1,1,1,47,5,304.588532281749
"50209",160709,1,2,2,50,6,304.588532281749
"50210",160709,1,3,2,19,11,304.588532281749
"50211",160716,1,1,2,30,11,1150.92385784173
"50212",160743,1,1,2,62,7,423.798394065603
"50213",160743,1,2,2,40,11,423.798394065603
"50214",160743,1,3,1,20,11,423.798394065603
"50215",160743,1,4,1,15,9,423.798394065603
"50216",160743,1,6,1,25,5,423.798394065603
"50217",160743,1,7,2,18,11,423.798394065603
"50218",160799,1,1,2,31,11,488.339203851499
"50219",160799,1,2,1,12,6,488.339203851499
"50220",160799,1,4,2,47,6,488.339203851499
"50221",160799,1,5,2,84,5,488.339203851499
"50222",160826,1,1,1,63,5,325.993645735018
"50223",160826,1,2,2,64,7,325.993645735018
"50224",160826,1,3,1,35,8,325.993645735018
"50225",160826,1,4,2,31,9,325.993645735018
"50226",160826,1,5,2,23,10,325.993645735018
"50227",160826,1,6,1,24,11,325.993645735018
"50228",160920,1,1,2,65,16,317.404351961594
"50229",160920,1,2,1,60,7,317.404351961594
"50230",160920,1,3,1,32,16,317.404351961594
"50231",160920,1,4,2,28,15,317.404351961594
"50232",161028,1,1,1,55,13,318.67618865485
"50233",161028,1,2,2,45,16,318.67618865485
"50234",161028,1,3,1,20,14,318.67618865485
"50235",161028,1,4,2,16,9,318.67618865485
"50236",161082,1,1,1,54,14,251.103395488805
"50237",161082,1,2,2,61,11,251.103395488805
"50238",161082,1,4,2,21,13,251.103395488805
"50239",161082,1,5,2,92,0,251.103395488805
"50240",161085,1,1,1,61,11,322.734834705748
"50241",161085,1,2,2,60,11,322.734834705748
"50242",161085,1,3,1,31,11,322.734834705748
"50243",161085,1,4,2,29,11,322.734834705748
"50244",161085,1,5,2,20,11,322.734834705748
"50245",161089,1,1,2,64,5,470.880387016175
"50246",161089,1,2,2,43,9,470.880387016175
"50247",161089,1,3,1,47,10,470.880387016175
"50248",161089,1,4,1,16,6,470.880387016175
"50249",161089,1,5,2,13,4,470.880387016175
"50250",161089,1,6,2,41,10,470.880387016175
"50251",161089,1,7,1,42,5,470.880387016175
"50252",161089,1,8,2,17,6,470.880387016175
"50253",161089,1,9,1,16,9,470.880387016175
"50254",161089,1,10,1,14,0,470.880387016175
"50255",161089,1,11,1,16,5,470.880387016175
"50256",161089,1,12,1,12,4,470.880387016175
"50257",161089,1,13,1,34,5,470.880387016175
"50258",161089,1,14,2,35,11,470.880387016175
"50259",161110,1,1,2,65,14,474.404352139523
"50260",161110,1,2,2,47,14,474.404352139523
"50261",161110,1,3,1,28,13,474.404352139523
"50262",161140,1,1,1,45,13,408.271817010023
"50263",161140,1,2,2,34,16,408.271817010023
"50264",161177,1,1,2,60,11,663.111375900051
"50265",161177,1,2,1,31,11,663.111375900051
"50266",161177,1,3,2,31,11,663.111375900051
"50267",161193,1,1,2,66,11,624.183371265261
"50268",161193,1,2,2,54,11,624.183371265261
"50269",161193,1,3,1,33,13,624.183371265261
"50270",161193,1,4,1,30,16,624.183371265261
"50271",161193,1,5,1,56,8,624.183371265261
"50272",161195,1,1,1,60,11,305.329348272167
"50273",161195,1,2,2,54,6,305.329348272167
"50274",161204,1,1,1,31,17,531.077601203459
"50275",161204,1,2,2,30,16,531.077601203459
"50276",161232,1,1,1,52,11,556.118659909648
"50277",161232,1,2,2,50,11,556.118659909648
"50278",161232,1,3,2,23,16,556.118659909648
"50279",161232,1,4,1,17,10,556.118659909648
"50280",161232,1,5,1,14,9,556.118659909648
"50281",161257,1,1,1,57,19,316.416879898928
"50282",161257,1,2,2,47,16,316.416879898928
"50283",161257,1,3,1,21,15,316.416879898928
"50284",161257,1,4,1,19,13,316.416879898928
"50285",161278,1,1,1,41,16,353.24859965469
"50286",161278,1,2,2,38,16,353.24859965469
"50287",161292,1,1,1,52,16,321.040989797034
"50288",161292,1,2,2,72,2,321.040989797034
