"","directorio","secuencia_p","orden","fecha","ocu","inac","deso"
"116",4804810,1,4,2019-01-01,1,0,0
"117",4804810,1,5,2019-01-01,1,0,0
"118",4804810,1,7,2019-01-01,1,0,0
"119",4804811,1,1,2019-01-01,0,1,0
"120",4804812,1,1,2019-01-01,1,0,0
"121",4804812,1,2,2019-01-01,1,0,0
"122",4804813,1,1,2019-01-01,1,0,0
"123",4804813,1,2,2019-01-01,1,0,0
"124",4804814,1,1,2019-01-01,0,1,0
"125",4804815,1,1,2019-01-01,1,0,0
"126",4804815,1,2,2019-01-01,1,0,0
"127",4804815,1,3,2019-01-01,0,1,0
"128",4804816,1,1,2019-01-01,1,0,0
"129",4804816,1,2,2019-01-01,1,0,0
"130",4804817,1,1,2019-01-01,1,0,0
"131",4804817,1,2,2019-01-01,0,1,0
"132",4804817,2,1,2019-01-01,1,0,0
"133",4804817,2,2,2019-01-01,0,1,0
"134",4804817,2,3,2019-01-01,0,1,0
"135",4804818,1,1,2019-01-01,1,0,0
"136",4804818,1,2,2019-01-01,1,0,0
"137",4804819,1,1,2019-01-01,0,1,0
"138",4804819,1,2,2019-01-01,1,0,0
"139",4804819,1,3,2019-01-01,1,0,0
"140",4804819,1,4,2019-01-01,1,0,0
"141",4804819,1,6,2019-01-01,0,1,0
"142",4804819,1,7,2019-01-01,1,0,0
"143",4804819,1,11,2019-01-01,1,0,0
"144",4804819,1,12,2019-01-01,0,1,0
"145",4804819,1,13,2019-01-01,0,1,0
"146",4804819,1,14,2019-01-01,1,0,0
"147",4804820,1,1,2019-01-01,1,0,0
"148",4804820,1,2,2019-01-01,1,0,0
"149",4804820,1,3,2019-01-01,0,1,0
"150",4804821,1,1,2019-01-01,0,1,0
"151",4804821,1,2,2019-01-01,1,0,0
"152",4804821,1,3,2019-01-01,1,0,0
"153",4804821,1,5,2019-01-01,1,0,0
"154",4804821,1,6,2019-01-01,1,0,0
"155",4804821,1,7,2019-01-01,0,1,0
"156",4804821,1,8,2019-01-01,1,0,0
"157",4804821,1,9,2019-01-01,1,0,0
"158",4804821,1,12,2019-01-01,1,0,0
"159",4804821,1,15,2019-01-01,1,0,0
"160",4804821,1,16,2019-01-01,1,0,0
"161",4804821,1,17,2019-01-01,1,0,0
"162",4804822,1,1,2019-01-01,1,0,0
"163",4804822,1,2,2019-01-01,1,0,0
"164",4804822,1,3,2019-01-01,1,0,0
"165",4804823,1,1,2019-01-01,0,1,0
"166",4804823,1,2,2019-01-01,1,0,0
"167",4804823,1,3,2019-01-01,1,0,0
"168",4804823,1,4,2019-01-01,1,0,0
"169",4804824,1,1,2019-01-01,0,1,0
"170",4804824,1,2,2019-01-01,0,1,0
"171",4804824,1,3,2019-01-01,1,0,0
"172",4804824,1,4,2019-01-01,0,1,0
"173",4804824,1,5,2019-01-01,1,0,0
"174",4804824,1,6,2019-01-01,1,0,0
"175",4804825,1,1,2019-01-01,1,0,0
"176",4804825,1,2,2019-01-01,0,1,0
"177",4804825,1,3,2019-01-01,1,0,0
"178",4804825,1,4,2019-01-01,1,0,0
"179",4804825,1,5,2019-01-01,0,1,0
"180",4804825,1,7,2019-01-01,1,0,0
"181",4804826,1,1,2019-01-01,1,0,0
"182",4804826,1,2,2019-01-01,0,1,0
"183",4804826,1,3,2019-01-01,1,0,0
"184",4804826,1,4,2019-01-01,1,0,0
"185",4804826,1,5,2019-01-01,1,0,0
"186",4804827,1,1,2019-01-01,1,0,0
"187",4804827,1,2,2019-01-01,1,0,0
"188",4804827,1,5,2019-01-01,1,0,0
"189",4804828,1,1,2019-01-01,1,0,0
"190",4804828,1,2,2019-01-01,1,0,0
"191",4804828,1,3,2019-01-01,1,0,0
"192",4804828,1,4,2019-01-01,1,0,0
"193",4804828,1,5,2019-01-01,1,0,0
"194",4804828,1,6,2019-01-01,0,1,0
"195",4804829,1,1,2019-01-01,0,1,0
